Marka auta,Ilosc sprzedanych aut,Wojewodztwo
Fiat,17,lubelskie
Audi,15,zachodniopomorskie
Seat,17,pomorskie
Audi,0,pomorskie
Skoda,0,małopolskie
Fiat,14,kujawsko-pomorskie
Bmw,1,mazowieckie
Mercedes,17,warmińsko-mazurskie
Bmw,0,kujawsko-pomorskie
Mercedes,3,pomorskie
Volkswagen,3,warmińsko-mazurskie
Bmw,8,śląskie
Skoda,20,lubuskie
Bmw,10,warmińsko-mazurskie
Seat,16,świętokrzyskie
Skoda,14,wielkopolskie
Seat,10,śląskie
Audi,8,świętokrzyskie
Bmw,16,podkarpackie
Honda,2,wielkopolskie
Skoda,9,dolnośląskie
Honda,3,dolnośląskie
Volkswagen,10,kujawsko-pomorskie
Seat,20,opolskie
